headline,category
Section,frag
Works worth Rs      crore launched for Kundgol,declarative
bengaluru,frag
Drama after shops  hotels near highway demolished,declarative
chennai,frag
Writer Giraddi Govindaraj among seven to get Sandesha awards,declarative
PF adalat,frag
Police  media sweat it out on field,declarative
Solatium announced,frag
CM to launch programmes,declarative
coimbatore,frag
Train services to be affected,declarative
CRIME NOTES,frag
Mysuru Winter Festival sees good turnout,declarative
cuddalore,frag
Programme launched to expand millet cultivation in Mysuru district,declarative
erode,frag
Millet Mela from Dec,declarative
Waste management hit,frag
Captured elephant shifted to Sakrebail,declarative
krishnagiri,frag
Farmers to sell vegetables directly to customers soon,declarative
Man drowns,frag
Technology comes to the aid of Vijayapura grape farmers,declarative
kumbakonam,frag
Three killed in freak accident,declarative
l  srikrishna,frag
School dropout among four arrested,declarative
madurai,frag
Kudumbasree project to help HIV  people,declarative
nagercoil,frag
Lubugo  finds many takers at Sargaalaya,declarative
puducherry,frag
Valuables worth Rs    lakh looted from two houses,declarative
Book fair under way,frag
Body yet to be identified,declarative
ramanathapuram,frag
Parents held for sexual abuse of minor,declarative
salem,frag
Seaport Airport Road extension plan hits fund  land hurdles,declarative
ERODE,frag
Police to keep vigil on drug abuse on New Year s eve,declarative
sivaganga,frag
Metro  Landowners to get more damages,declarative
thanjavur,frag
hour harbour kiosks mooted,declarative
thoothukudi,frag
Fort Kochi decked up for Cochin Carnival,declarative
tiruchi,frag
Corporation finds going tough as resources dry up,declarative
Worker suffers burns,frag
Rs      cr sought for road widening,declarative
tirunelveli,frag
Building permits to be cleared at adalat,declarative
water level,frag
Bus terminal opened near MCH,declarative
tirupur,frag
Leaders  training summit inaugurated,declarative
Seized,frag
CPI M  gears up for district meet,declarative
udhagamandalam,frag
Elderly woman killed in accident,declarative
vellore,frag
Bad roads  vacation rush lead to jams on Ghat Road,declarative
virudhunagar,frag
BJP to launch protest,declarative
Employee of the month,frag
New Excise circle office,declarative
The errors of comedy,frag
BSNL mela to be held tomorrow,declarative
Power shutdown today,frag
PTTC arts fete from tomorrow,declarative
Art for art s sake,frag
Thanka Anki to reach Pampa today,declarative
Action taken,frag
Central Travancore all set to celebrate Christmas,declarative
Creativity on wheels,frag
Coast glum as State gets into Xmas mode,declarative
city cinema,frag
Weekly Tatkal Special extended,declarative
For today s engagement,frag
Private bus sector roots for PPP,declarative
cinema arts events,frag
e health all set to be rolled out at MCH,declarative
MRR CHENNAI TODAY FOR DECEMBER     SATURDAY  FOR CHENNAI CITY FOR PAGE,frag
SHRC intervenes on encroachments on footpath,declarative
ENGAGEMENT,frag
PFA centre facing threat of closure,declarative
Dindigul engagements,frag
Not beggars  all of them,declarative
Tirunelveli engagement,frag
Minor irrigation works to get funding under MGNREGS,declarative
karnataka,frag
TDB tightens norm for retirees  NLC,declarative
Section,frag
LSGIs told to open Gramin Bank accounts,declarative
ballari,frag
held on charge of chain snatching,declarative
belagavi,frag
Kudumbasree to set up     more Buds facilities,declarative
belagavi bengaluru,frag
Charity in focus at Buon Natale,declarative
BBMP blames lack of surveyors for tardy encroachment clearance drive,frag
VAIGA      from Dec,declarative
bengaluru,frag
Youth shot at during hunting,declarative
hyderabad,frag
Wonders of geospatial tech unravelled,declarative
KSEEB helpline,frag
Time to be merry,declarative
chikkamagaluru,frag
chitradurga,frag
Karnataka Cong  reshaping its strategy on Hindutva,declarative
Protest held,frag
Rs     lakh online fraud  school dropout from Jharkhand among   held,declarative
hassan,frag
Bamboo chicken  taps into tourists  palate,declarative
Leopardess captured,frag
Two killed in road accident,declarative
hubballi,frag
VOIP call racket busted    arrested,declarative
hubballi bengaluru,frag
Kuchipudi guru felicitated,declarative
Mahadayi  Ready for talks  CM tells Parrikar,frag
Man  kills  wife,declarative
kalaburagi,frag
Bikes  autorickshaw burnt,frag
IG launches Greet with Green drive in Kurnool,declarative
mandya,frag
APSRTC crew help woman deliver in bus,declarative
mangaluru,frag
Pension scam     civic employees suspended,declarative
Youth with bags of eggs held,frag
Youngster hacked to death in Pulivendula,declarative
manipal,frag
boys drown in Kadapa  Nellore districts,declarative
mysuru,frag
This village fasts every Monday,declarative
The Mysuru zoo model,frag
Nellore smart city project remains a distant dream,declarative
D projection mapping,frag
Boy drowns,declarative
panaji,frag
Tirthahalli under the grip of monkey fever again,declarative
udupi,frag
File FIRs immediately in Dalit cases  officials told,declarative
vijayapura,frag
Vizianagaram traders seek relief from GST woes,declarative
Riot of colours,frag
Underwater prayers held for Cyclone Ockhi victims,declarative
engagements for Dec    and,frag
Tirupati sets sights on top Swachh rank,declarative
kerala,frag
BVP s regional conference begins,declarative
Section,frag
Post free sand policy  focus shifts to alternative revenue sources,declarative
alappuzha,frag
Govt  to celebrate    years of Prakasam barrage,declarative
idukki,frag
She autos  to be painted in vibrant colours,declarative
Kudumbasree elections,frag
Throwball tourney begins,declarative
kalpetta,frag
CRDA to show capital progress to President,declarative
kanhangad,frag
Collector warns against cockfights,declarative
kasaragod,frag
Andhra chamber to lead MSME delegation to US,declarative
kochi,frag
UP gang involved in    robberies busted,declarative
Authors  meet in Kochi,frag
CM to open musical fountain,declarative
kollam,frag
Naidu greets people on Christmas,declarative
Meet dwells on green energy,frag
TDP scouts for MLC candidate in Kurnool,declarative
kottayam,frag
Pre fab building to come up in city,declarative
kozhikode,frag
Nimble fingers at their creative best,declarative
A festival for non festival films,frag
Floating lanterns light up sky,declarative
Brief,frag
Churches in city decked up,declarative
mangaluru,frag
GITAM to hold science camp,declarative
r  ramu,frag
Rotary  IOCL hold safety car rally,declarative
Defying odds to hit bullseye,frag
Cobalation surgery for adenoids  tonsils,declarative
YSRCP seeks action on Bandaru  son,declarative
Revised DPR for Light Metro ready,frag
Mystery shrouds eunuch s death,declarative
special correspondent,frag
Centre may go slow on DCI sale,declarative
Czechs respond to Sabarimala s pull,frag
Job seekers pin hopes on APPSC,declarative
Christmas is here,declarative
Merry time at Ammathottil,frag
BC Cell meets,declarative
Excise moves SPC,frag
Bejjur vultures show an increase in number,declarative
DPRs of parking lots approved,frag
Four students injured,declarative
Russian fest concludes,frag
Talk on reproductive health not a taboo anymore,declarative
Workshop on language resource mapping,frag
Good liquor offtake  but poor margins,declarative
Matyafed fair begins,frag
Get ready for panchayat polls  Uttam tells partymen,declarative
Three more bodies identified,frag
Dalit leaders condemn Manda Krishna s arrest,declarative
briefly,frag
Rodent menace at OGH mortuary    nursing orderlies suspended,declarative
Tribal children to tour city,frag
Two cops transferred for  misdemeanour,declarative
Power supply,frag
Consumer protection councils in all districts soon,declarative
BSNL,frag
Eminent OU engineering alumni felicitated,declarative
thrissur,frag
Pedestrian  biker killed in separate accidents,declarative
Call to go vegan this season,frag
Raja Singh booked for  hate speech,declarative
Festive spirit,frag
Tattoo designer arrested,declarative
Shot at record,frag
Central team to verify ODF claim,declarative
Gift deliverers,frag
Sanction Hasanparthi Karimnagar railway line  MP urges Union Minister,declarative
Seven year blooms,frag
SFI warns Govt,declarative
Vanishing visitors,frag
Release of Rs         crore sought for irrigation projects,declarative
Faculty development programme,frag
TRS govt  leading State into debt trap  Congress leader,declarative
Shopping extravaganza,frag
NSS volunteers make field visit to SYP,declarative
On the warpath,frag
Farmers seek better support from government,declarative
Reaching for the stars,frag
Gudatipally villagers fear displacement again,declarative
Engagements  for Saturday and Sunday,frag
LMD water for Bejjanki soon  Harish,declarative
andhra pradesh,frag
Administrative processing may vary for different applications,declarative
Section,frag
Festivities begin,declarative
amaravati,frag
Khattar meets Gadkari over Delhi Hisar e way,declarative
b  venkat sandeep,frag
Centre refutes PIL charges over vacant NDMA posts,declarative
belagavi panaji,frag
Men on bike snatch phone from diplomat Eenam Gambhir in Rohini,declarative
chennai,frag
Safety of visitors is no walk in the park,declarative
chittoor,frag
As the year ends  Delhiites spoilt for choice,declarative
guntur,frag
CM urges L G action on ashram,declarative
SPCAs to get more teeth,frag
Missing  from bike patrol at night     policemen sent to district lines,declarative
hyderabad,frag
Former Armyman arrested on rape charge,declarative
kakinada,frag
HC issues contempt proceedings against judge,declarative
kalpetta,frag
Hit by speeding car  pedestrian dies,declarative
kurnool,frag
Jawan parades woman with garland of slippers  held,declarative
BRIEFLY,frag
School gate falls in M P   crushes   children,declarative
Briefly,frag
Dhinakaran wins Jaya s seat in setback to AIADMK  DMK,declarative
machilipatnam,frag
What about border fire  Cong,declarative
mangaluru,frag
Live our life for a day  AIIMS doctors to PM,declarative
Fast track alimony payment  Centre,declarative
Two sisters found dead,frag
Withdraw triple talaq Bill  says AIMPLB,declarative
nellore,frag
Bypoll result a defeat for EC  not DMK  says Stalin,declarative
new delhi,frag
AIADMK will rally behind Dhinakaran  Thirumavalavan,declarative
ongole,frag
Nokia plant revival still on  Ravi Shankar,declarative
rajamahendravaram,frag
Time for AIADMK to introspect  L  Ganesan,declarative
special correspondent,frag
Money alone has determined the outcome of bypoll  Ramadoss,declarative
srikakulam,frag
We will consider division of Belagavi district only if there is consensus  CM,declarative
Talks only after polls  says Goa BJP,declarative
tirupati,frag
Mahadayi  Farmers continue protest,declarative
vijayawada,frag
Religious harmony is India s treasure  says Dalai Lama,declarative
Cleanliness need of the hour  says Collector,frag
Retired HM s murder  Police remain clueless,declarative
No New Year revelry at temples,frag
Only     children fully immunised  survey,declarative
visakhapatnam,frag
Verdict a blow to conspirators  Minister,declarative
Notorious property offender held,frag
New Year parties  drugs seized  two persons arrested,declarative
Institution that produced host of luminaries,frag
Ensure crisis management at Sabarimala  Sankaradas,declarative
Jail for   in cheating case,frag
Sexual harassment  Govt firm on complaints committees,declarative
App to monitor locked houses,frag
Woman s murder  CB solves case,declarative
Activists protest,frag
Mathematics Day celebrated,frag
HC orders to CBI to trace Rohini ashram s founder,declarative
Vizag Bay Marathon today,frag
Kejriwal playing dirty dubious politics says BJP,declarative
vizianagaram,frag
NHRC issues notice to AAP govt  DDA,declarative
Sufi saint s birthday celebrations held,frag
IIT Delhi registers rise in phase I placements,declarative
A race against time,frag
Girl slips through hole on bridge missing,declarative
For want of the zing factor,frag
Man stabbed near Saket metro station,declarative
Blooming beauties,frag
Pollution down to  very poor,declarative
Festivities in the air,frag
Pak high commission official hurt,declarative
Sneak peek,frag
AAP points figure at BJP  Dehli Police,declarative
Award presented,frag
CM assures helps to family,declarative
telangana,frag
Bill in Lok Sabha to protect slums,declarative
Section,frag
Constable killed as bus rams into bike,declarative
bengaluru,frag
Man held for rape,declarative
hyderabad,frag
Sharpshooter arrested,declarative
Plans to weed out inferior cotton seed,frag
Unidentified men on bike go on robbery spree,declarative
Mobility cluster mooted in TS,frag
TISS denies permission for talk on cow,declarative
Honour for HCA curator,frag
Stop MeritTrac payments  say students,declarative
State nod for filling     posts,frag
MMRDA to invest Rs         cr  for nine metro corridors,declarative
Rail Nilayam fully lit by LEDs,frag
Allopaths irked by notifications to resister homeopaths with medical council,declarative
Call to nurture jointsmanship,frag
Three held for trying to sell animal skins,declarative
Trains to be regulated,frag
Refinery project         farmers threaten strike,declarative
Safe custody of autopsy reports of naxals ordered,frag
No reply to The Hindu report on ZP schools,declarative
BJP sees conspiracy in ISC      cancellation,frag
Zaveri Bazar collapse  FIR filed against contractor,declarative
Campaign for amending voters  list,frag
Fire near Arthur road Jail  no casualities,declarative
SCCL security guard s son NDA graduate,frag
Probes against Khadse ministers to continue,declarative
Child marriages loom larg,frag
Only    of     schools built  PAC,declarative
Training courses,frag
Winter session a failure Congress,declarative
kamareddy,frag
MLAs allege graft in repairs at Monara,declarative
khammam,frag
Undertrail held with gold worth Rs     lakh,declarative
konyala  sangareddy district,frag
Another congress MLA joins BJP in Tripura,declarative
A long wait for compensation,frag
Unseasonal rain hits paddy crop in Odisha,declarative
nizamabad,frag
Move to boost security in low income areas,declarative
sangareddy,frag
Hindu outfits protest against Bengali film,declarative
suryapet,frag
TMC takes out rally against FRDI Bill,declarative
Study circle for SC students,frag
UPCOC Bill flaters in Legislative Council,declarative
Larger picture  say academics,frag
NGT notice to centre Uttarakhand govt,declarative
Winter blues,frag
Foundation laid for mega power project,declarative
new delhi,frag
Farmer shot dead in Bihar,declarative
Section,frag
AITUC to stire for jobs for Goans,declarative
ghaziabad,frag
NCR GIRL DEATH,frag
Abbas ruled out U S  peace plan,declarative
new delhi,frag
Boris Johnson spares with Russian counterpart,declarative
Wait for Metro service to Chennai Central gets longer,frag
U S  considers separating famalies to fight immigration,declarative
Many firsts on the Magenta Line,frag
Russian hackers targeted more than     journalists,declarative
Three day strike concludes,frag
young partygoers held in Iran,declarative
For the love of a street,frag
U S  has marginalised itself Macron,declarative
Day of reckoning for Lalu today,frag
SEBI raids brokers in data leak probe,declarative
The PMO and Pulok cross connections,frag
RECP india hardens stand ahead of ASEAN summit,declarative
In full force,frag
PCA only to improve bank s health says RBI,declarative
Two held in Bikaner land case,frag
Asian paints to boost production capacity,declarative
In full force,frag
Auto expo to focus fully on mobility ecosystem,declarative
Mehbooba  Farooq hail India s stand,frag
For business page Jayem forms a company to develop electric drives,declarative
receive life term for murder of man,frag
Super kings to retain Dhoni Raina,declarative
Actor Vishal appears before HC,frag
Rohit at his rollicking and marauding best,declarative
Train services rescheduled,frag
Rashid moves to the top,declarative
Kaleshwaram land acquisition by State Act,frag
Mouth watering clashes in the offing,declarative
OU busy reversing the hard work put in for ISC,frag
Snehadevi raring to go again,declarative
Polavaram  YSR Cong  puts onus on Centre,frag
One bad match and the tournament is over lamnents skipper Vinay,declarative
IPL talent hunt   accused seen with alleged match fixers,frag
Chawla holds nerve to best Ishpreet,declarative
HC poser to university VC search panel,frag
ATK Dynamos sailing in the same boat,declarative
Classification of drains in RMP,frag
Junior Super Kings inter school T   tournament from Dec,declarative
Car Free Sundays  by The Hindu,frag
Kerala Blasters snatches a dramatic draw,declarative
One third of new foresters in TN are women,frag
Tendulkar holds forth on sports in the country,declarative
Bigger battles ahead for Congress,frag
Rishabh saves CFC,declarative
A lifeline for vintage cars,frag
Warne rates Smith highter than Kohli in Test matches,declarative
Next  it is Karnataka,frag
Pakistan players stranded in Uganda,declarative
Special camps for differently abled persons,frag
Supreme General obliges in main event,declarative
brief,frag
Good to see youngsters in pro football Dravid,declarative
brief,frag
Paine  Starc doubtful for fourth Test,declarative
brief,frag
Tamil Nadu probable for zonal T   events,declarative
brief,frag
India to host Australia England,declarative
national,frag
Marcinkevica stops Ankita,declarative
Section,frag
Vijendar ready for the battle,declarative
Bigger battles ahead for Congress,frag
Aditya Aparajitha win,declarative
Three musketeers behind Congress,frag
Scoreboard india vs sri lanka  second t,declarative
coimbatore,frag
Jewish trove hidden from Nazis gives up its secrets,declarative
At heaven s door,frag
Hazara women find safe space in social venture,declarative
Rescue efforts,frag
Sun like star found eating its own planetary offspring,declarative
Reader s Mail  Madurai,frag
Super    founder pays tribute to Ramanujan,declarative
Reader s Mail  Tirunelveli,frag
Facebook signs deals with music label Universal Music,declarative
For today s engagements,frag
Beasley lifts the Knicks to a statement win over the Celtics,declarative
cinema arts events,frag
Smith vows no let up on bouncers to England s tail,declarative
SALEM,frag
Warriors streak into Christmas showdown despite Curry injury,declarative
Dindigul engagements,frag
North Eastern warriors all set for PBL debut,declarative
Madurai Today,frag
Dybala back as Juve chase Christmas number one,declarative
engagements,frag
Swansea pin hopes on new manager bounce,declarative
karnataka,frag
Early homnins prove to be as enegetic as humans,declarative
Section,frag
NASA could send probe to nearby exoplanet by,declarative
belagavi,frag
England won t roll over in dead Tests  Malan,declarative
Kendriya Vidyalaya sports day,frag
Italian blue berets to teach self defence for young girls,declarative
bengaluru,frag
Zimbabwean batsman struggle under lights,declarative
State next on Central leadership s radar,frag
Tokyo cuts estimated tab for      Olympics to      bollion,declarative
Renovation of library,frag
Ekta lone indian in both ICC ODI T   Teams of the year,declarative
Prakash Raj s poser to PM,frag
Hockey players working on mental strength with Neuro Tracker,declarative
crimenotes,frag
N  Koria poses substaintial nuclear threads to US  Kim Jong Un,declarative
Workshop on water,frag
Pelestinians hail UN rejection to Trump s Jerusalem declaration,declarative
chitradurga,frag
Saif Ali khan ups his game,declarative
manipal,frag
Men s jewellery in platinum,declarative
pathanamthitta,frag
Truecaller identifies   nmillion spam numbers,declarative
shivamogga,frag
Land Rover Defender to be redesigned,declarative
staff reporter,frag
Polestar   production limited to     units a year,declarative
tanu kulkarni,frag
K Balachandar  the man  the movies,declarative
udupi,frag
You ve got real mail,declarative
vijayapura,frag
Delhi Sultan comes to Pondy,declarative
yadgir,frag
Marathoner granny who bakes X mas cakes,declarative
Hard work pays,frag
This rolling truck gathers travellers,declarative
Cultural extravaganza,frag
Anurag kasyap gives his actors  space Rajesh,declarative
Events in Bengaluru,frag
Rogue One  A Star Wars Story,declarative
idukki,frag
God save the quirk,declarative
kalpetta,frag
Special Olympics  logo launched,declarative
kannur,frag
ISL Jamshedpur FC upset Bengaluru,declarative
kasaragod,frag
Last week s answer  Anushka Sharma,declarative
kozhikode,frag
AIISH to go green with rooftop solar plant,declarative
pathanamthitta,frag
All India NCC training camp at INA,declarative
Tips to Vice Chancellors,frag
Alumni to join hands for facelift of schools,declarative
An amazing show of energy  vivacity,declarative
Short film festival,frag
An apology for roads in ward,declarative
Seminar on dairy sector,frag
Anbumani tells govt  to shed ego  hold talks,declarative
Seminar,frag
Ancient iron pole renovated,declarative
RGCB lab,frag
APGVB plans to set up    Aadhaar centres,declarative
Ujjwala Baalyam Award,frag
Apple urged to shield kids from iPhone addiction,declarative
Not a welcome sign,frag
APSRTC  TSRTC go all out to clear Sankranti rush,declarative
A P  Yadava Yuva Bheri hails KCR,declarative
Aranmula temple festival begins,declarative
Kozhikode Engagements,frag
Army satisfied with Akash missile,declarative
Art forms a mind body booster  Heike Oberlin,declarative
anil kumar sastry,frag
Assault on advocate  lawyers boycott courts  take out rally,declarative
bengaluru,frag
Assault on students  Teacher held,declarative
rajamahendravaram,frag
ATP pledges shake up as four quit Auckland,declarative
srikakulam,frag
A tropical fruit that is sweet  sour and cost effective,declarative
pic briefly,frag
Back to the drawing board as the First Test Syndrome strikes again,declarative
tirumala,frag
Bad road  DYFI stages agitation,declarative
tirupati,frag
Bail plea of three murder accused rejected,declarative
briefly,frag
Baked to perfection,declarative
tirupati  kunool,frag
Baloch CM steps down amidst crisis,declarative
vijayawada,frag
Bareilly corporator booked for sedition,declarative
visakhapatnam,frag
Bats suffer in Australian heatwave,declarative
A school for children with learning differences,frag
BCU seeks return of land given to various institutions,declarative
CSI workshop on  machine learning,frag
Bhuvaneswaran stuns Chawla,declarative
Talk session   atc with pic,frag
Bhyrappa to be presented Nrupatunga award,declarative
vizianagaram,frag
Bidar bandh called by Dalits against rape murder total and peaceful,declarative
BLS training programme for students today,frag
Bijapur Chalo a damp squib following differences among Dalit leaders,declarative
Thefts in trains on the rise,frag
Bishops  panel to study sale of land,declarative
Nature s canvas,frag
BJP slams Rahul for  irresponsible  talk,declarative
Star studded event,frag
BJP wins all   mayoral posts in Chandigarh civic body,declarative
AVN College    atc with pic,frag
Brighton wins on VAR debut,declarative
telangana,frag
Bright young minds all set to battle for top honours,declarative
Section,frag
British Operations  Haig s Despatch,declarative
adilabad,frag
BSNL cables ruptured in Metro work,declarative
Rally on energy conservation today,frag
BSNL staff to launch indefinite agitation,declarative
Building workers  engineers block highway,declarative
Energy conservation workshop today,frag
Bus blocked as it hits two wheeler,declarative
bhadradri kothagudem,frag
Buses on contract to Melmaruvathur,declarative
Agency bandh peaceful,frag
Bus strike      held in Tirunelveli,declarative
gajwel  siddipet dt,frag
Cable TV operator hacked to death,declarative
hyderabad,frag
Cab operator alleges threat over ad,declarative
Design award for Satheesh Reddy,frag
Call for a public health directorate,declarative
karimnagar,frag
Camps to correct errors in land records,declarative
khammam,frag
Cane farmers struggle to break even,declarative
munugode  nalgonda,frag
Case against Dhinakaran dismissed,declarative
nalgonda,frag
Cash for votes  plea seeks life imprisonment,declarative
Association plea,frag
Cauvery verdict in four weeks  says SC,declarative
erode,frag
CBDT informs EC about AAP s discrepancies in donations,declarative
Power shut down,frag
CBI takes up investigation of Ramajeyam murder case,declarative
dindigul,frag
CBSE schools asked to follow norms,declarative
IGNOU admissions,frag
Chain snatched at railway station,declarative
Winners,frag
Chamber urges Minister to simplify tax rates further,declarative
Power shutdown,frag
Chennai airport to have a tunnel,declarative
kancheepuram,frag
Chennai City FC  Neroca share points,declarative
krishnagiri,frag
China avoids a counter on Doklam,declarative
madurai,frag
China launches remote sensing satellites,declarative
Danger zone at Moolakkarai,frag
Church attack  arrest of culprits demanded,declarative
Water level,frag
CIIL to fund studies on endangered languages,declarative
in brief,frag
CII sees good potential for industry in Warangal,declarative
nagapattinam,frag
CIL raises non coking coal price  stock surges,declarative
No clarity yet on number of missing fishermen,frag
City cinemas yet to take a call on playing national anthem,declarative
nagercoil,frag
City may get more boom barriers,declarative
namakkal,frag
perambalur,frag
Class X student commits suicide,declarative
pon vasanth arunachalam,frag
CM reiterates appeal to striking transport workers,declarative
puducherry,frag
CM reviews progress on master plan,declarative
Power shutdown,frag
CM s office clarifies on helicopter charges,declarative
pudukottai,frag
CM urged to intervene,declarative
Huge haul of liquor,frag
CM visits veteran politician M C  Nanaiah,declarative
ramanathapuram,frag
Coir Board to diversify products to boost sales,declarative
rasipuram,frag
Cold spells  Is climate change the cause,declarative
salem,frag
Collector  flyovers  NH will be completed by June,declarative
thanjavur,frag
Collector inspects bus stand,declarative
thoothukudi,frag
Colleges urged to focus on entrepreneurship training,declarative
tiruchi,frag
Company told to pay policy holder Rs     lakh,declarative
tirunelveli,frag
Concern about pest attack,declarative
Water level,frag
Cong  dharna against  illegal  mining,declarative
tirupur,frag
Cong  govt  criticised for using public money for publicity through Sadhana Samaveshas,declarative
tiruvarur,frag
Cong  infighting over ticket for kin of leaders,declarative
udhagamandalam,frag
Congress coalition govt  in West Bengal,declarative
vellore,frag
Congress has fulfilled manifesto promises and more  Siddaramaiah,declarative
Nomination for ward polls,frag
Congress manifesto panel meeting,declarative
Water body desilted,frag
Congress workers meeting tomorrow,declarative
Demand for allotment of land for conservancy workers,frag
Connecting dots  spiritually,declarative
Power shutdown in Theni,frag
,declarative
Sixth straight win in PM s home State,frag
,declarative
Photocopier case  Customs to take action against officers,interrogative
Now  tour Mysuru zoo using mobile app,frag
,declarative
No further prop to KSRTC  govt,interrogative
BJP workers celebrate,frag
,declarative
Police intensify search for Peace Foundation MD,interrogative
Old machine is a novelty,frag
,declarative
Most migrants are clueless about welfare schemes,interrogative
Changes in traffic regulation,frag
,declarative
LPG project in limbo as govt is yet to make up its mind,interrogative
When the benevolent sea took away its children,frag
,declarative
Registration begins for The Hindu Young World quiz,interrogative
IMEA award given,frag
,declarative
Women s panel registers case against assault,interrogative
Renovation works in full swing,frag
,declarative
Child  grandmother drown in canal,interrogative
REN DISRUPTION IN POTABLE WATER SUPPLY THANJAVUR,frag
,declarative
Luxury bus exempted from registration  CIAL,interrogative
Orientation for police on juvenile justice system,frag
,declarative
Taxi drivers to go on hunger strike,interrogative
Mixed reactions from Gujaratis on Assembly results,frag
,declarative
Traffic reforms at Kalamassery,interrogative
Jeeva Nagar residents  plea,frag
,declarative
CPI M  condemns anti GAIL stir,interrogative
Now  tour Mysuru zoo using mobile app,frag
,declarative
Errant auto drivers to face action,interrogative
Resolve to modernise Telugu for use in media,frag
,declarative
Power shutdown in city today,interrogative
All set for south zone tennis tourney,frag
,declarative
Regional science centre extols virtues of cow,interrogative
Close shave,frag
,declarative
Pinarayi takes potshots at CBI,interrogative
,declarative
Transgender artistes allege defamation bid by police,interrogative
Of women and freedoms,frag
,declarative
Disqualify P V  Anvar  says BJP,interrogative
,declarative
Ariyalur,frag
,declarative
A cherished moment for Mapilapattu aficionados,interrogative
,declarative
Trust to rerecord Harivarasanam,interrogative
Chennai,frag
,declarative
Acute diarrhoea outbreak at Pulluvila,interrogative
,declarative
Young scientist awards announced,interrogative
Coimbatore,frag
,declarative
Temporary stoppage for train at Charvathur,interrogative
,declarative
Prisoners  cricketing skills to be put to test,interrogative
erode,frag
,declarative
Steps to keep trek path plastic free,interrogative
,declarative
Coastal villages to get Wi Fi,interrogative
kancheepuram,frag
,declarative
Kanakakkunnu Palace turns an artists  haven,interrogative
,declarative
Trial run of NAVIC fishing boats today,interrogative
Kanniyakumari,frag
,declarative
CPI Nemom conference held,interrogative
,declarative
karur,frag
,declarative
Arogya Jagratha against communicable diseases,interrogative
,declarative
Telepresence network to be set up,interrogative
krishnagiri,frag
,declarative
staff record attendance,interrogative
,declarative
panchayat members disqualified,interrogative
One more  smart school  for city,frag
,declarative
Bus operators demand p,interrogative
,declarative
No UDF decision on Markaz boycott  Hassan,interrogative
In brief,frag
,declarative
A  graders will have photos on stamps,interrogative
,declarative
Seminar on promoting spice farming in cities,interrogative
Nagapattinam,frag
,declarative
NSS opposes name change for Sabarimala,interrogative
,declarative
CPI M  meet begins,interrogative
Nagercoil,frag
,declarative
Efforts on to clear loan waiver instalments  says Yanamala,interrogative
,declarative
Each SHG family will be given Rs          says Lokesh,interrogative
Namakkal,frag
,declarative
Defeat Naidu in Kuppam  Jagan exhorts BCs,interrogative
,declarative
Trauma centre for Sri City,interrogative
palani,frag
,declarative
Stringent norms for kidney transplant only on paper,interrogative
,declarative
Spell bee contest held,interrogative
perambalur,frag
,declarative
Technology nailed Maoists  Telangana DGP,interrogative
,declarative
Take TDP achievements to people  says L  Ramana,interrogative
puducherry,frag
,declarative
Case against IAS officer quashed,interrogative
,declarative
Cow donation at science centre draws flak,interrogative
Encouraging local talent,frag
,declarative
Minor fire in SBI branch,interrogative
,declarative
New OSD of Kadapa assumes charge,interrogative
Ramanathapuram,frag
,declarative
HC  AP must implement orders to stop cockfights,interrogative
,declarative
KRU to be shifted to permanent campus by March,interrogative
salem,frag
,declarative
HC Judge opens court through digital mode,interrogative
,declarative
Rs     crore to be spent on beautification of canals,interrogative
Mettur Dam water level,frag
,declarative
Tension in Mangaluru  Bajrang Dal man cremated    stabbed,interrogative
,declarative
Task force to tackle land encroachers,interrogative
salem Coimbatore,frag
,declarative
Install CCTVs or face punitive action  Police,interrogative
,declarative
Minor Dalit girl    gangraped,interrogative
,declarative
Another incident of fire in Muezzin s house,interrogative
,declarative
cams to beef up Tirumala security,interrogative
thoothukudi,frag
,declarative
Srivari Seva volunteers allege humiliation,interrogative
,declarative
Tirupati station revamp will begin in   months  SCR GM,interrogative
tiruchi,frag
,declarative
Long way to double farmers  income  Dinesh Kumar,interrogative
,declarative
Another feather in the cap for this naval cadet of ALC,interrogative
tirunelveli,frag
,declarative
NSLC panel seeks water for    days more,interrogative
,declarative
CRDA chief suggests Amaravati s own liveability index,interrogative
Water level,frag
,declarative
lakh petitions received during Janmabhoomi,interrogative
,declarative
Nitish brings smiles on ACA administrators  faces,interrogative
tirupur,frag
,declarative
Collectors  conference from Jan    Infosys s Parekh to get Rs      cr  fixed pay  variable of Rs       cr,interrogative
,declarative
Accumulated loss  IOB to use share premium,interrogative
udhagamandalam,frag
,declarative
India has a point to prove  South Africa a score to settle,interrogative
,declarative
Line up according to conditions  Bangar,interrogative
vellore,frag
,declarative
Enjoying every moment of my stint  Marin,interrogative
,declarative
lakh petitions received during Janmabhoomi,interrogative
Walkathon held,frag
,declarative
BSNL leading in wireless broadband services  AP circle chief,interrogative
,declarative
Take charge of your health  women told,interrogative
Engagements,frag
,declarative
Disinvestment talk makes RINL employees furious,interrogative
,declarative
Unions stage protest,interrogative
cinema arts events,frag
,declarative
Some solace for    rape  victims of Vakapalli,interrogative
,declarative
MP seeks early decision on railway zone,interrogative
SALEM,frag
,declarative
YSRCP seeks action against polluting units,interrogative
,declarative
Six dots that changed lives of visually impaired,interrogative
Dindigul engagements,frag
,declarative
Cockfights opposed,interrogative
,declarative
Workshop at Sankar eye hospital,interrogative
power shutdown,frag
,declarative
